Feature ID	Test stat.	pval	pval_fdr	pval_bon
D_0__Bacteria;D_1__Aquificae	0.067260732	0.085903937	0.15353044	1
D_0__Bacteria;D_1__RsaHF231	0.06186316	0.114284697	0.19999822	1
D_0__Bacteria;D_1__Fusobacteria	0.059984016	0.125735662	0.21554685	1
D_0__Bacteria;D_1__uncultured archaeon	0.05527373	0.158348751	0.266025902	1
D_0__Bacteria;D_1__Thermotogae	-0.05373158	0.170308724	0.280508487	1
D_0__Archaea;D_1__Aigarchaeota	0.052090264	0.183765675	0.293289689	1
D_0__Bacteria;D_1__Synergistetes	0.051938112	0.185051828	0.293289689	1
D_0__Bacteria;D_1__aquifer1	0.049557529	0.206047069	0.320517663	1
D_0__Archaea;D_1__Diapherotrites	0.041111879	0.294296658	0.449471259	1
D_0__Archaea;D_1__SM1K20	-0.039379903	0.315130958	0.472696437	1
D_0__Archaea;D_1__Crenarchaeota	0.033021894	0.399674546	0.588994068	1
D_0__Bacteria;D_1__Verrucomicrobia	-0.025984302	0.507573016	0.735105747	1
D_0__Bacteria;D_1__Hyd24-12	0.023901423	0.542202888	0.771949874	1
D_0__Bacteria;D_1__GOUTA4	0.021189584	0.588982298	0.824575217	1
D_0__Bacteria;D_1__LCP-89	-0.018956114	0.628850176	0.865957619	1
D_0__Bacteria;D_1__TA06	-0.018066996	0.645035421	0.873918957	1
D_0__Bacteria;D_1__Actinobacteria	-0.013857794	0.723842244	0.965122992	1
D_0__Archaea;D_1__Parvarchaeota	-0.010706631	0.784870872	1	1
D_0__Bacteria;D_1__Kazan-3B-09	0.007798582	0.842396008	1	1
D_0__Bacteria;D_1__CKC4	-0.004781519	0.902973293	1	1
D_0__Archaea;D_1__Miscellaneous Euryarchaeotic Group(MEG)	0.003551141	0.927860444	1	1
D_0__Bacteria;D_1__Cloacimonetes	-0.0031312	0.936372065	1	1
D_0__Bacteria;D_1__Acetothermia	0.002289894	0.953445004	1	1
D_0__Archaea;D_1__Ancient Archaeal Group(AAG)	nan	nan	1	nan
D_0__Archaea;D_1__Marine Hydrothermal Vent Group(MHVG)	nan	nan	1	nan
D_0__Archaea;D_1__Nanoarchaeota	nan	nan	1	nan
D_0__Archaea;D_1__Nanohaloarchaeota	nan	nan	1	nan
D_0__Archaea;D_1__uncultured archaeon	nan	nan	1	nan
D_0__Archaea;D_1__uncultured bacterium	nan	nan	1	nan
D_0__Bacteria;D_1__Calescamantes	nan	nan	1	nan
D_0__Bacteria;D_1__Candidate division WS6	nan	nan	1	nan
D_0__Bacteria;D_1__Chrysiogenetes	nan	nan	1	nan
D_0__Bacteria;D_1__Dictyoglomi	nan	nan	1	nan
D_0__Bacteria;D_1__LD1-PA38	nan	nan	1	nan
D_0__Bacteria;D_1__OC31	nan	nan	1	nan
D_0__Bacteria;D_1__S2R-29	nan	nan	1	nan
D_0__Bacteria;D_1__SBYG-2791	nan	nan	1	nan
D_0__Bacteria;D_1__Thermodesulfobacteria	nan	nan	1	nan
