Feature ID	Test stat.	pval	pval_fdr	pval_bon
D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)	nan	nan	1	nan
D_0__Bacteria;D_1__OC31	nan	nan	1	nan
D_0__Bacteria;D_1__PAUC34f	nan	nan	1	nan
D_0__Bacteria;D_1__RsaHF231	nan	nan	1	nan
D_0__Bacteria;D_1__S2R-29	nan	nan	1	nan
D_0__Bacteria;D_1__SBYG-2791	nan	nan	1	nan
D_0__Bacteria;D_1__Synergistetes	nan	nan	1	nan
D_0__Bacteria;D_1__Thermodesulfobacteria	nan	nan	1	nan
D_0__Bacteria;D_1__aquifer1	nan	nan	1	nan
D_0__Bacteria;D_1__uncultured archaeon	nan	nan	1	nan
